2020-03-16 10:35:31,558 [main] INFO   LoginTestRunner(25) - Browser :: chrome
2020-03-16 10:35:31,567 [main] INFO   LoginTestRunner(26) - Environment :: YCOM_L1
2020-03-16 10:35:32,196 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-03-16 10:35:32,196 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome=80 (expired on 2020-03-11 11:30:19)
2020-03-16 10:35:32,196 [main] DEBUG  io.github.bonigarcia.wdm.Shell(55) - Running command on the shell: [wmic, datafile, where, name='C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe', get, Version, /value]
2020-03-16 10:35:32,430 [main] DEBUG  io.github.bonigarcia.wdm.Shell(57) - Result: Version=80.0.3987.132
2020-03-16 10:35:32,446 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(601) - Detected Google Chrome version 80
2020-03-16 10:35:32,446 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(634) - Using preferences true
2020-03-16 10:35:32,446 [main] DEBUG  i.github.bonigarcia.wdm.Preferences(93) - Removing preference chrome80=80.0.3987.106 (expired on 2020-03-11 11:30:19)
2020-03-16 10:35:32,446 [main] DEBUG  i.g.bonigarcia.wdm.WebDriverManager(685) - Getting driver version for chrome80 from online versions.properties
2020-03-16 10:35:32,446 [main] TRACE  i.g.bonigarcia.wdm.WebDriverManager(719) - Reading online version.properties to find out driver version
2020-03-16 10:35:32,446 [main] DEBUG  o.a.h.c.protocol.RequestAddCookies(122) - CookieSpec selected: standard
2020-03-16 10:35:32,462 [main] DEBUG  o.a.h.c.protocol.RequestAuthCache(76) - Auth cache not set in the context
2020-03-16 10:35:32,462 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(249) - Connection request: [route: {s}->https://raw.githubusercontent.com:443][total kept alive: 0; route allocated: 0 of 2; total allocated: 0 of 20]
2020-03-16 10:35:32,477 [main] DEBUG  o.a.h.i.c.PoolingHttpClientConnectionManager(282) - Connection leased: [id: 0][route: {s}->https://raw.githubusercontent.com:443][total kept alive: 0; route allocated: 1 of 2; total allocated: 1 of 20]
2020-03-16 10:35:32,477 [main] DEBUG  o.a.h.impl.execchain.MainClientExec(234) - Opening connection {s}->https://raw.githubusercontent.com:443
2020-03-16 10:35:32,524 [main] DEBUG  o.a.h.i.c.DefaultHttpClientConnectionOperator(138) - Connecting to raw.githubusercontent.com/151.101.0.133:443
2020-03-16 10:35:32,524 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(335) - Connecting socket to raw.githubusercontent.com/151.101.0.133:443 with timeout 0
2020-03-16 10:35:32,586 [main] DEBUG  o.a.h.c.s.SSLConnectionSocketFactory(388) - Enabled protocols: [TLSv1, TLSv1.1, TLSv1.2]
